address,isHostedBySuperhost,name,numberOfGuests,pricing/rate/amountFormatted,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/memberSince,primaryHost/responseRate,primaryHost/smartName,roomType,url
"Lahore, Punjab, Pakistan",No,"Cheerful Lower Portion, Fee Wifi",4.0,$59,0 Reviews,Identity verified,Omer,Joined in October 2021,0.0,Omer,Entire place,https://www.airbnb.com/rooms/52626234
"Lahore, Punjab, Pakistan",No,Cheerful upper portion with 3 bedrooms .,8.0,$50,85 Reviews,Identity verified,Muhammad uzair,Joined in October 2019,0.96,Muhammad Uzair,Entire place,https://www.airbnb.com/rooms/52950246
"Islamabad, Islamabad Capital Territory, Pakistan",No,Chic and Cosy Artist's Den - Heart of Islamabad,4.0,$68,0 Reviews,Identity not verified,Nabila,Joined in January 2017,0.0,Nabila,Entire place,https://www.airbnb.com/rooms/16886805
"Lahore, Punjab, Pakistan",Yes,Chic Suites -302 Beautiful One bedroom apartment.,2.0,$45,187 Reviews,Identity not verified,Ahmad,Joined in April 2019,1.0,Ahmad,Entire place,https://www.airbnb.com/rooms/34335494
"Islamabad, Islamabad Capital Territory, Pakistan",No,Choc theme 2 bed appartment near isb int airport,4.0,$65,169 Reviews,Identity verified,Yasir nawaz,Joined in November 2018,1.0,Yasir Nawaz,Entire place,https://www.airbnb.com/rooms/47436681
"Karachi, Sindh, Pakistan",No,Chocolate Brownie Lounge,3.0,$30,57 Reviews,Identity verified,Ali,Joined in July 2019,1.0,Ali,Entire place,https://www.airbnb.com/rooms/46768864
"Islamabad, Islamabad Capital Territory, Pakistan",No,"City + Mountain View, Parks, comfortable Rooms...",16.0,$18,0 Reviews,Identity not verified,Sohail,Joined in March 2020,0.25,Sohail,Private room,https://www.airbnb.com/rooms/43034201
"Karachi, Sindh, Pakistan",No,"CITY CENTER, VERY GOOD CLEAN LOCATION DHA KARACHI",1.0,$25,0 Reviews,Identity not verified,Faisal,Joined in July 2015,1.0,Faisal,Private room,https://www.airbnb.com/rooms/22154593
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,City View 2 BHK Junior Suite | Netflix | Amazon,6.0,$35,208 Reviews,Identity verified,Azeem,Joined in June 2018,1.0,Azeem,Entire place,https://www.airbnb.com/rooms/44530208
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Classic Minimalist Themed 1 or 2 BR-65”TV-NETFLIX.,4.0,$39,709 Reviews,Identity verified,Saami,Joined in April 2016,1.0,Saami,Entire place,https://www.airbnb.com/rooms/48500424
"Karachi, Sindh, Pakistan",No,Classic Room for foriegners in Karachi Clifton,2.0,$17,0 Reviews,Identity verified,Muhammad yasir,Joined in February 2021,0.0,Muhammad Yasir,Private room,https://www.airbnb.com/rooms/49883442
"Lahore, Punjab, Pakistan",No,"Classic, Luxurious Bed Rooms Near  Lahore Airport",2.0,$46,0 Reviews,Identity not verified,Khalid,Joined in April 2019,0.0,Khalid,Private room,https://www.airbnb.com/rooms/34077411
"Lahore, Punjab, Pakistan",No,Classy one bed appartment,2.0,$45,14 Reviews,Identity verified,Ali,Joined in July 2021,1.0,Ali,Entire place,https://www.airbnb.com/rooms/53755300
"Lahore, Punjab, Pakistan",No,Classy Room,2.0,$25,1 Review,Identity verified,Hamza,Joined in October 2019,0.0,Hamza,Private room,https://www.airbnb.com/rooms/39189094
"Karachi, Sindh, Pakistan",No,Clifton lodge,2.0,$23,0 Reviews,Identity not verified,Clifton,Joined in July 2019,0.0,Clifton,Private room,https://www.airbnb.com/rooms/36442019
"Karachi, Sindh, Pakistan",No,Clifton Logde Guest House accommodation karachi,16.0,$40,0 Reviews,Identity not verified,Asif,Joined in July 2019,0.0,Asif,Private room,https://www.airbnb.com/rooms/36655205
"Karachi, Sindh, Pakistan",No,Col Naushad Chalet,4.0,$52,0 Reviews,Identity not verified,Farhan,Joined in December 2017,0.67,Farhan,Private room,https://www.airbnb.com/rooms/22438728
"Lahore, Punjab, Pakistan",No,Cold Stone Apartments,3.0,$34,29 Reviews,Identity verified,Habib,Joined in December 2020,1.0,Habib,Entire place,https://www.airbnb.com/rooms/53665350
"Lahore, Punjab, Pakistan",No,Comfort Home,3.0,$34,0 Reviews,Identity not verified,Ali,Joined in December 2017,0.0,Ali,Private room,https://www.airbnb.com/rooms/32022580
"Lahore, Punjab, Pakistan",No,Comfort Zone,2.0,$13,55 Reviews,Identity verified,Nasim,Joined in June 2020,1.0,Nasim,Private room,https://www.airbnb.com/rooms/43942995
"Karachi, Sindh, Pakistan",No,Comfortable & Clean Room for Women & Families,2.0,$49,4 Reviews,Identity verified,Anila,Joined in August 2020,1.0,Anila,Private room,https://www.airbnb.com/rooms/45044117
"Rawalpindi, Punjab, Pakistan",No,Comfortable 1Bed Luxury Apartment,4.0,$68,1 Review,Identity verified,Abdul,Joined in September 2016,1.0,Abdul,Entire place,https://www.airbnb.com/rooms/15110513
"Lahore, Punjab, Pakistan",No,Comfortable and Independent One Bed,2.0,$15,171 Reviews,Identity verified,Saqib,Joined in August 2015,1.0,Saqib,Entire place,https://www.airbnb.com/rooms/51362136
"Lahore, Punjab, Pakistan",Yes,Comfortable Bedroom & Breakfast in Family Home,3.0,$23,19 Reviews,Identity verified,Jalal,Joined in October 2017,1.0,Jalal,Private room,https://www.airbnb.com/rooms/35347679
"Lahore, Punjab, Pakistan",No,Comfortable room with central location,2.0,$29,0 Reviews,Identity not verified,Moeid,Joined in July 2018,0.0,Moeid,Private room,https://www.airbnb.com/rooms/36926901
"Lahore, Punjab, Pakistan",No,Comfortable room with safe environment,1.0,$57,0 Reviews,Identity not verified,Zehrish,Joined in December 2018,0.0,Zehrish,Private room,https://www.airbnb.com/rooms/31888640
"Lahore, Punjab, Pakistan",No,Comfortable Safe relaxing feel like home,4.0,$34,0 Reviews,Identity verified,Sara,Joined in January 2021,0.0,Sara,Private room,https://www.airbnb.com/rooms/47970962
"Lahore, Punjab, Pakistan",No,Comfortable Stay,2.0,$19,0 Reviews,Identity verified,Muhammad afraz,Joined in October 2019,0.0,Muhammad Afraz,Private room,https://www.airbnb.com/rooms/39544705
"Karachi, Sindh, Pakistan",No,Comfortable Studio Apartment near the Beach,2.0,$29,119 Reviews,Identity verified,Uzair,Joined in August 2019,0.99,Uzair,Entire place,https://www.airbnb.com/rooms/45599436
"Lahore, Punjab, Pakistan",No,Comfy getaway in DHA opposite to airport,6.0,$55,131 Reviews,Identity verified,Azlan,Joined in July 2021,1.0,Azlan,Entire place,https://www.airbnb.com/rooms/51100544
"Islamabad, Islamabad Capital Territory, Pakistan",No,Comfy N Convenient G-13 Islamabad,7.0,$57,0 Reviews,Identity verified,Ali,Joined in September 2019,0.0,Ali,Entire place,https://www.airbnb.com/rooms/52645666
"Lahore, Punjab, Pakistan",No,Comfy residence for short & long stay in JHR Town,5.0,$21,30 Reviews,Identity verified,Umair,Joined in August 2019,0.93,Umair,Private room,https://www.airbnb.com/rooms/40503277
"Lahore, Punjab, Pakistan",No,Commercial market facing park,4.0,$34,1 Review,Identity not verified,Muhammad hassan,Joined in August 2020,0.0,Muhammad Hassan,Entire place,https://www.airbnb.com/rooms/45209453
"Islamabad, Islamabad Capital Territory, Pakistan",No,Condo one bed room without AC.,3.0,$19,287 Reviews,Identity verified,Waqas,Joined in July 2020,0.98,Waqas,Entire place,https://www.airbnb.com/rooms/641007258995432100
"Islamabad, Islamabad Capital Territory, Pakistan",No,Contemporary 2BHK Serviced Apartment - The Bliss,5.0,$57,1 Review,Identity verified,The,Joined in March 2020,1.0,The,Entire place,https://www.airbnb.com/rooms/45256390
"Islamabad, Islamabad Capital Territory, Pakistan",No,Contemporary Aparment in F10 Wifi+Netflix+SmartTv,4.0,$48,257 Reviews,Identity verified,Arif,Joined in January 2018,0.97,Arif,Entire place,https://www.airbnb.com/rooms/31554814
"Islamabad, Islamabad Capital Territory, Pakistan",No,Continental Boutique - Deluxe King suite - 3 BR,9.0,$82,1 Review,Identity verified,Hanif,Joined in February 2021,0.8,Hanif,Entire place,https://www.airbnb.com/rooms/48180092
"Lahore, Punjab, Pakistan",No,Continental Girls Hostel near UCP University,4.0,$14,0 Reviews,Identity verified,Aadil,Joined in November 2016,0.0,Aadil,Private room,https://www.airbnb.com/rooms/45089753
"Lahore, Punjab, Pakistan",No,Convenient 1BHK apartment in Moon Market Lahore,3.0,$23,0 Reviews,Identity not verified,Waseem,Joined in November 2019,0.0,Waseem,Entire place,https://www.airbnb.com/rooms/42330392
"Karachi, Sindh, Pakistan",No,Convenient location for long stay for shopping,2.0,$27,1 Review,Identity not verified,Imdad,Joined in September 2017,0.0,Imdad,Private room,https://www.airbnb.com/rooms/49814085
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Cool and serene, voices of birds wakes you up",5.0,$71,0 Reviews,Identity not verified,Haseeb,Joined in April 2020,0.0,Haseeb,Private room,https://www.airbnb.com/rooms/43208928
"Lahore, Punjab, Pakistan",No,Cool spot in near walled city of lahore,4.0,$11,1 Review,Identity verified,Hamza,Joined in March 2018,0.0,Hamza,Entire place,https://www.airbnb.com/rooms/54235222
"Lahore, Punjab, Pakistan",No,"Cosy Home Experience @ Faisal Town, Central Lahore",7.0,$16,0 Reviews,Identity not verified,Saibi,Joined in September 2021,0.75,Saibi,Private room,https://www.airbnb.com/rooms/52337320
"Islamabad, Islamabad Capital Territory, Pakistan",No,cosy lodgings,8.0,$59,0 Reviews,Identity verified,Muhammad owais,Joined in July 2021,0.0,Muhammad Owais,Entire place,https://www.airbnb.com/rooms/50945940
"Karachi, Sindh, Pakistan",No,Cosy Private Room in Newly built Apartment,2.0,$29,1 Review,Identity verified,Quratulain,Joined in November 2019,1.0,Quratulain,Private room,https://www.airbnb.com/rooms/44441639
"Karachi, Sindh, Pakistan",Yes,"Cosy, Comfy and artsy room with kitchen and living",2.0,$31,194 Reviews,Identity verified,Mehreen,Joined in February 2017,1.0,Mehreen,Private room,https://www.airbnb.com/rooms/38830813
"Karachi, Sindh, Pakistan",No,Couple Guest  House Karachi,2.0,$31,0 Reviews,Identity verified,Abdul,Joined in November 2019,1.0,Abdul,Private room,https://www.airbnb.com/rooms/54086412
"Karachi, Sindh, Pakistan",No,Couple Room Guest House Karachi,4.0,$34,0 Reviews,Identity verified,Abdul,Joined in November 2019,1.0,Abdul,Entire place,https://www.airbnb.com/rooms/40530778
"Karachi, Sindh, Pakistan",No,Couples Friendly Guest House karachi,2.0,$29,0 Reviews,Identity verified,Abdul,Joined in November 2019,1.0,Abdul,Private room,https://www.airbnb.com/rooms/40685138
"Islamabad, Islamabad Capital Territory, Pakistan",No,Covid Free! 5 Star Master 1BHK+Wifi+Netflix.,4.0,$48,418 Reviews,Identity not verified,Riff,Joined in April 2018,1.0,Riff,Entire place,https://www.airbnb.com/rooms/24456773
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Cozy 2 bedroom Apartment,Wifi+Free parking+SmartTV",6.0,$63,15 Reviews,Identity verified,Tahir,Joined in December 2021,1.0,Tahir,Entire place,https://www.airbnb.com/rooms/54033767
"Karachi, Sindh, Pakistan",No,Cozy 2-BR APT Near Seaview,4.0,$45,65 Reviews,Identity verified,Imad,Joined in October 2021,0.98,Imad,Entire place,https://www.airbnb.com/rooms/53699792
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,"Cozy 2BHK,Parking,Netflix,WiFi,Functional Kitchen",4.0,$58,150 Reviews,Identity verified,Murtaza,Joined in October 2020,1.0,Murtaza,Entire place,https://www.airbnb.com/rooms/46103839
"Lahore, Punjab, Pakistan",Yes,Cozy 2BR 1st Floor with Shared Lounge and Kitchen,6.0,$41,59 Reviews,Identity verified,Homey vacation rentals,Joined in November 2018,1.0,Homey Vacation Rentals,Entire place,https://www.airbnb.com/rooms/52649404
"Lahore, Punjab, Pakistan",No,Cozy And Comfy Apartment Near Eiffel Tower Replica,2.0,$35,0 Reviews,Identity verified,Muhammad,Joined in March 2021,0.0,Muhammad,Entire place,https://www.airbnb.com/rooms/48951571
"Lahore, Punjab, Pakistan",Yes,Cozy Bedroom with Shared Living Room and Kitchen 1,3.0,$22,59 Reviews,Identity verified,Homey vacation rentals,Joined in November 2018,1.0,Homey Vacation Rentals,Private room,https://www.airbnb.com/rooms/50797793
"Lahore, Punjab, Pakistan",Yes,Cozy Bedroom with Shared Living Room and Kitchen 2,3.0,$22,59 Reviews,Identity verified,Homey vacation rentals,Joined in November 2018,1.0,Homey Vacation Rentals,Private room,https://www.airbnb.com/rooms/50820812
"Islamabad, Islamabad Capital Territory, Pakistan",No,Cozy Comfy Family Room in Islamabad,3.0,$57,0 Reviews,Identity verified,Faisal,Joined in November 2016,0.0,Faisal,Private room,https://www.airbnb.com/rooms/29175956
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Cozy one bed apartment w/ pleasant ambience,2.0,$50,77 Reviews,Identity verified,Raja,Joined in January 2019,1.0,Raja,Entire place,https://www.airbnb.com/rooms/54401067
"Karachi, Sindh, Pakistan",Yes,Cozy room -Self Check-Free Parking-Beautiful Villa,2.0,$32,28 Reviews,Identity verified,Asfand,Joined in September 2020,1.0,Asfand,Private room,https://www.airbnb.com/rooms/53099948
"Lahore, Punjab, Pakistan",No,Cozy small room in an upscale neighborhood,2.0,$23,0 Reviews,Identity verified,Saud,Joined in October 2018,0.2,Saud,Private room,https://www.airbnb.com/rooms/41141483
"Rawalpindi, Punjab, Pakistan",Yes,Cozy Studio Apartment in Bahria Town,2.0,$22,140 Reviews,Identity verified,Bilal,Joined in September 2019,1.0,Bilal,Entire place,https://www.airbnb.com/rooms/41997233
"Islamabad, Islamabad Capital Territory, Pakistan",No,Cozy Two Bed Apartment on Ground Floor,8.0,$57,11 Reviews,Identity verified,Haseeb,Joined in February 2019,0.0,Haseeb,Entire place,https://www.airbnb.com/rooms/32207759
"Rawalpindi, Punjab, Pakistan",Yes,Cozy Two Bed Room Ground Floor Independent portion in Bahria Town Rwp Phase V,5.0,$60,70 Reviews,Identity verified,Imran,Joined in May 2019,1.0,Imran,Entire place,https://www.airbnb.com/rooms/51232786
"Lahore, Punjab, Pakistan",No,Crib,2.0,$23,0 Reviews,Identity verified,Waqas,Joined in February 2021,0.0,Waqas,Private room,https://www.airbnb.com/rooms/48124888
"Karachi, Sindh, Pakistan",No,Cute 01-bedroom Casa particular in Karachi DHA,1.0,$29,0 Reviews,Identity not verified,Samra,Joined in May 2021,0.0,Samra,Private room,https://www.airbnb.com/rooms/50502912
"Lahore, Punjab, Pakistan",No,Dar Plaza,2.0,$34,0 Reviews,Identity not verified,Usman,Joined in May 2018,0.0,Usman,Private room,https://www.airbnb.com/rooms/37866556
"Lahore, Punjab, Pakistan",No,Dar's Mension,2.0,$34,0 Reviews,Identity not verified,Usman,Joined in May 2018,0.0,Usman,Private room,https://www.airbnb.com/rooms/24860573
"Lahore, Punjab, Pakistan",Yes,"Darul Khair - Johar Town, Lahore",3.0,$13,194 Reviews,Identity verified,Muhammad nauman,Joined in September 2018,1.0,Muhammad Nauman,Private room,https://www.airbnb.com/rooms/28579925
"Lahore, Punjab, Pakistan",No,Dawar House,4.0,$25,0 Reviews,Identity not verified,Khurram,Joined in June 2019,0.0,Khurram,Private room,https://www.airbnb.com/rooms/46703405
"Islamabad, Islamabad Capital Territory, Pakistan",No,Decent 1 bed Apartment with hot water,4.0,$15,1 Review,Identity verified,Jaz,Joined in November 2021,1.0,Jaz,Entire place,https://www.airbnb.com/rooms/53192649
"Karachi, Sindh, Pakistan",No,"Dedys hotel near Agha Khan,liaqat hospitalstadium",16.0,$34,1 Review,Identity verified,Saqib,Joined in February 2021,0.0,Saqib,Private room,https://www.airbnb.com/rooms/52948762
"Islamabad, Islamabad Capital Territory, Pakistan",No,Defense housing society phase 1 Islamabad (DHA),4.0,$57,0 Reviews,Identity not verified,Waheed,Joined in July 2019,0.0,Waheed,Private room,https://www.airbnb.com/rooms/36461028
"Karachi, Sindh, Pakistan",No,"Defense Phase#6,Furnished and comfy apartment",2.0,$51,0 Reviews,Identity not verified,Bilawal,Joined in September 2020,0.0,Bilawal,Private room,https://www.airbnb.com/rooms/47797893
"Karachi, Sindh, Pakistan",No,Delightful 1-Bedroom ranch with fire pit,3.0,$30,0 Reviews,Identity verified,Zaman,Joined in October 2019,0.0,Zaman,Private room,https://www.airbnb.com/rooms/52646820
"Lahore, Punjab, Pakistan",No,delightful 3 bed apartment,16.0,$51,0 Reviews,Identity verified,Umer,Joined in May 2020,1.0,Umer,Entire place,https://www.airbnb.com/rooms/52217410
"Karachi, Sindh, Pakistan",No,Deluxe Bedrooms in Clifton,2.0,$37,1 Review,Identity verified,Salman,Joined in February 2017,1.0,Salman,Private room,https://www.airbnb.com/rooms/17438264
"Lahore, Punjab, Pakistan",No,Deluxe Guest Room,3.0,$36,0 Reviews,Identity verified,Hassan,Joined in July 2020,0.0,Hassan,Private room,https://www.airbnb.com/rooms/45391561
"Karachi, Sindh, Pakistan",No,Deluxe Master Room City Center,3.0,$37,5 Reviews,Identity verified,Saeed,Joined in April 2017,1.0,Saeed,Private room,https://www.airbnb.com/rooms/33582136
"Lahore, Punjab, Pakistan",Yes,Deluxe Room - Johar Town Lahore,3.0,$15,194 Reviews,Identity verified,Muhammad nauman,Joined in September 2018,1.0,Muhammad Nauman,Private room,https://www.airbnb.com/rooms/33459487
"Rawalpindi, Punjab, Pakistan",No,Designer Apartment Bahria Town! A Rare Find.,3.0,$56,50 Reviews,Identity verified,Bilal,Joined in May 2021,1.0,Bilal,Entire place,https://www.airbnb.com/rooms/51794297
"Islamabad, Islamabad Capital Territory, Pakistan",No,Designer Apartment in F-10 Wifi+Netflix+Smart Tv,3.0,$43,1 Review,Identity verified,Saad,Joined in February 2020,1.0,Saad,Entire place,https://www.airbnb.com/rooms/54326176
"Rawalpindi, Punjab, Pakistan",No,Designer one bed apartment for rent,2.0,$46,0 Reviews,Identity verified,Riaz,Joined in December 2021,1.0,Riaz,Entire place,https://www.airbnb.com/rooms/53824216
"Islamabad, Islamabad Capital Territory, Pakistan",No,DHA B&B,4.0,$74,1 Review,Identity verified,Khizer,Joined in January 2021,1.0,Khizer,Entire place,https://www.airbnb.com/rooms/47570087
"Islamabad, Islamabad Capital Territory, Pakistan",No,Dha executive apartment,4.0,$34,11 Reviews,Identity verified,Ahmed,Joined in October 2020,1.0,Ahmed,Entire place,https://www.airbnb.com/rooms/53871739
"Lahore, Punjab, Pakistan",No,"DHA, RG - Condo",4.0,$57,74 Reviews,Identity verified,Escobar,Joined in April 2019,1.0,Escobar,Entire place,https://www.airbnb.com/rooms/48269690
"Lahore, Punjab, Pakistan",No,Diamount 1 Bedroom Apartment Designer Furnished Di,2.0,$46,18 Reviews,Identity verified,Your.rentals,Joined in April 2021,0.76,Your.Rentals,Entire place,https://www.airbnb.com/rooms/53031000
"Lahore, Punjab, Pakistan",No,Divine (3) Executive 1 Bedroom Serviced Apartment,3.0,$46,59 Reviews,Identity verified,Aftab,Joined in October 2021,0.96,Aftab,Entire place,https://www.airbnb.com/rooms/53744348
"Lahore, Punjab, Pakistan",No,Divine A Lavish Studio Apartment,3.0,$45,59 Reviews,Identity verified,Aftab,Joined in October 2021,0.96,Aftab,Entire place,https://www.airbnb.com/rooms/52804790
"Lahore, Punjab, Pakistan",No,"Double bed Queen room in center of Lahore, Liberty",3.0,$54,0 Reviews,Identity verified,M.,Joined in March 2016,0.0,M.,Private room,https://www.airbnb.com/rooms/51424506
"Karachi, Sindh, Pakistan",No,Double bed with attached bath in centre of Karachi,2.0,$33,0 Reviews,Identity verified,Yasir,Joined in February 2019,0.0,Yasir,Private room,https://www.airbnb.com/rooms/53617893
"Lahore, Punjab, Pakistan",No,Double Deluxe With Balcony,2.0,$51,27 Reviews,Identity verified,Aijaz,Joined in November 2015,1.0,Aijaz,Private room,https://www.airbnb.com/rooms/53142400
"Lahore, Punjab, Pakistan",No,Double room in Johar Town,2.0,$24,0 Reviews,Identity verified,Zahid,Joined in November 2019,0.0,Zahid,Private room,https://www.airbnb.com/rooms/40298580
"Lahore, Punjab, Pakistan",No,DoubleBed Apartment Centrally Located,4.0,$40,29 Reviews,Identity verified,Habib,Joined in December 2020,1.0,Habib,Entire place,https://www.airbnb.com/rooms/54338054
"Lahore, Punjab, Pakistan",No,Downtown Lahore| Hi-end Luxury for Lahore Visitors,2.0,$32,1 Review,Identity verified,Fahid,Joined in July 2020,0.6,Fahid,Entire place,https://www.airbnb.com/rooms/44390136
"Lahore, Punjab, Pakistan",No,Dream Place,3.0,$29,0 Reviews,Identity verified,Abdullah,Joined in September 2019,1.0,Abdullah,Private room,https://www.airbnb.com/rooms/38434097
"Islamabad, Islamabad Capital Territory, Pakistan",No,"E-11, 2-Bedrooms LUXURY and PRIVATE APT W/King Bed",4.0,$59,9 Reviews,Identity verified,Nasrullah,Joined in December 2019,1.0,Nasrullah,Entire place,https://www.airbnb.com/rooms/42719670
"Islamabad, Islamabad Capital Territory, Pakistan",No,"E-11, 3-Bedrooms LUXURY and PRIVATE APT W/King Beds and Peace.",6.0,$64,9 Reviews,Identity verified,Nasrullah,Joined in December 2019,1.0,Nasrullah,Entire place,https://www.airbnb.com/rooms/52084237
"Lahore, Punjab, Pakistan",No,Economical rooms in the center of city,4.0,$17,0 Reviews,Identity not verified,Dr khalid,Joined in March 2021,0.5,Dr Khalid,Shared room,https://www.airbnb.com/rooms/48695121
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Economy Apar Self check in- AC- Free Wi-Fi Netflix,2.0,$22,238 Reviews,Identity verified,Usman,Joined in February 2018,0.99,Usman,Private room,https://www.airbnb.com/rooms/52239983
"Islamabad, Islamabad Capital Territory, Pakistan",No,EcostayStudio l Self Check-in I AC l Wifi l Backup,2.0,$24,63 Reviews,Identity not verified,Chaudhary,Joined in November 2020,0.97,Chaudhary,Entire place,https://www.airbnb.com/rooms/46720938
"Lahore, Punjab, Pakistan",No,effiel view,2.0,$34,0 Reviews,Identity verified,Malik,Joined in May 2021,0.0,Malik,Entire place,https://www.airbnb.com/rooms/50062037
"Rawalpindi, Punjab, Pakistan",Yes,Elegant & Charming 1 Bed Apartment In Bahria Town,2.0,$45,140 Reviews,Identity verified,Bilal,Joined in September 2019,1.0,Bilal,Entire place,https://www.airbnb.com/rooms/49003696
"Lahore, Punjab, Pakistan",No,Elegant appartment for premium class living,2.0,$45,14 Reviews,Identity verified,Ali,Joined in July 2021,1.0,Ali,Entire place,https://www.airbnb.com/rooms/52233959
"Lahore, Punjab, Pakistan",No,Elegant Appartments,2.0,$45,14 Reviews,Identity verified,Ali,Joined in July 2021,1.0,Ali,Entire place,https://www.airbnb.com/rooms/52233838
"Rawalpindi, Punjab, Pakistan",Yes,Elegant home in Bahria Town,4.0,$40,118 Reviews,Identity verified,Bilal,Joined in May 2019,1.0,Bilal,Entire place,https://www.airbnb.com/rooms/38365570
"Lahore, Punjab, Pakistan",No,Elegant Hotel in DHA Phase 5 Lahore,2.0,$46,0 Reviews,Identity verified,Ali,Joined in July 2020,0.25,Ali,Private room,https://www.airbnb.com/rooms/44057250
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Elegant-Very Spacious & Cosy- Fully Private- 2 BHK,5.0,$40,45 Reviews,Identity verified,Faiza,Joined in December 2019,1.0,Faiza,Entire place,https://www.airbnb.com/rooms/53510654
"Islamabad, Islamabad Capital Territory, Pakistan",No,Elysium 99  Islambad,16.0,$46,2 Reviews,Identity verified,Sheikh umar,Joined in April 2019,0.0,Sheikh Umar,Private room,https://www.airbnb.com/rooms/34292561
"Karachi, Sindh, Pakistan",No,Embassy Inn Guest House Gulshan,2.0,$32,0 Reviews,Identity verified,Abdul,Joined in November 2019,1.0,Abdul,Private room,https://www.airbnb.com/rooms/45789966
"Karachi, Sindh, Pakistan",No,Embassy Lodge - Sharah Faisal,3.0,$29,5 Reviews,Identity verified,Mohammad,Joined in May 2017,0.7,Mohammad,Private room,https://www.airbnb.com/rooms/18565549
"Lahore, Punjab, Pakistan",No,En Suite Quadruple Room at The Ceil Villa,4.0,$33,99 Reviews,Identity verified,Shayan,Joined in December 2019,1.0,Shayan,Private room,https://www.airbnb.com/rooms/47917173
"Lahore, Punjab, Pakistan",No,Engineering House,2.0,$23,0 Reviews,Identity not verified,Umair,Joined in March 2020,0.0,Umair,Private room,https://www.airbnb.com/rooms/42631390
"Karachi, Sindh, Pakistan",No,Enjoy Calmness at fully equipped room near airport,3.0,$21,19 Reviews,Identity verified,Obaid,Joined in April 2019,0.43,Obaid,Private room,https://www.airbnb.com/rooms/33880323
"Karachi, Sindh, Pakistan",No,Enquiste living space in posh area of Karachi,2.0,$34,0 Reviews,Identity verified,Rehan,Joined in September 2021,0.0,Rehan,Private room,https://www.airbnb.com/rooms/52077189
"Rawalpindi, Punjab, Pakistan",No,"Entire 1 BHK Aprtment::Netflix, Youtube, Sanitized",2.0,$57,0 Reviews,Identity verified,Imran,Joined in August 2018,0.0,Imran,Entire place,https://www.airbnb.com/rooms/54292968
"Islamabad, Islamabad Capital Territory, Pakistan",No,Entire 2 bed with TV Lounge fully furnished flat.,5.0,$48,80 Reviews,Identity verified,Ama,Joined in December 2020,1.0,Ama,Entire place,https://www.airbnb.com/rooms/49991866
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,Entire 2BHK Aprtmnt::Netflix+ Youtube+Margala hill,5.0,$62,180 Reviews,Identity verified,Abu bakar,Joined in September 2020,1.0,Abu Bakar,Entire place,https://www.airbnb.com/rooms/54208479
"Islamabad, Islamabad Capital Territory, Pakistan",No,Entire Apartment with Separate Private Entranc E11,4.0,$63,0 Reviews,Identity verified,Muhammad,Joined in July 2020,0.0,Muhammad,Entire place,https://www.airbnb.com/rooms/44489616
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Entire Luxury Flat, E11/2Markaz Main Islamabad.",2.0,$31,128 Reviews,Identity not verified,Syed khalil ahmed shah,Joined in March 2019,0.81,Syed Khalil Ahmed Shah,Entire place,https://www.airbnb.com/rooms/38385332
"Islamabad, Islamabad Capital Territory, Pakistan",No,Entire Rental Unit.2BR•Netflix•BackupUPS.CozyCondo,6.0,$48,56 Reviews,Identity verified,Aqeel,Joined in April 2021,1.0,Aqeel,Entire place,https://www.airbnb.com/rooms/49036810
"Islamabad, Islamabad Capital Territory, Pakistan",No,"Entire Space, Peaceful/Spacious/Secured.",2.0,$57,0 Reviews,Identity verified,Hamza,Joined in April 2019,0.5,Hamza,Entire place,https://www.airbnb.com/rooms/45991183
"Karachi, Sindh, Pakistan",No,Entire Stylish Apartment,4.0,$64,186 Reviews,Identity verified,Muhammad feroz,Joined in June 2021,0.96,Muhammad Feroz,Entire place,https://www.airbnb.com/rooms/50595223
"Lahore, Punjab, Pakistan",No,Escobars luxury arena - Comfortable & Private room,2.0,$23,74 Reviews,Identity verified,Escobar,Joined in April 2019,1.0,Escobar,Private room,https://www.airbnb.com/rooms/47064675
"Karachi, Sindh, Pakistan",No,Everyone's invited,3.0,$34,1 Review,Identity verified,Syed,Joined in December 2017,1.0,Syed,Private room,https://www.airbnb.com/rooms/41570753
"Lahore, Punjab, Pakistan",No,Excellent Portion for stay in Lahore,4.0,$43,0 Reviews,Identity verified,Ali,Joined in December 2021,0.0,Ali,Entire place,https://www.airbnb.com/rooms/53750329
"Islamabad, Islamabad Capital Territory, Pakistan",No,Excellent Room located in the Heart of Islamabad.,2.0,$23,22 Reviews,Identity verified,Umair,Joined in February 2021,1.0,Umair,Private room,https://www.airbnb.com/rooms/52985651
"Lahore, Punjab, Pakistan",No,Executive,2.0,$34,0 Reviews,Identity verified,Premier inn,Joined in March 2020,0.0,Premier Inn,Private room,https://www.airbnb.com/rooms/42947655
